学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024,Arts & Humanities,Archaeology,Architecture,Art & Design,Classics,English Language,History$,History of Art,Linguistics,Modern Languages,Music,Performing Arts,Philosophy,Theology,Engineering & Technology,Computer Science,Data Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Petroleum Engineering,Life Sciences & Medicine,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Natural Sciences,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Mathematics,Materials Science,Physics,Social Sciences & Management,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Marketing,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
布兰迪斯大学,Brandeis University,美国,741-750,664,401,301,,,,,,301-350,,,,,,,,,,,,,,,,,,,,,651-700,,,,,,,,,,,,,,,,601-675,,,,,,,551-700,,,,,,,,,,
考纳斯工业大学,Kaunas University of Technology,立陶宛,741-750,1624,1201,-,,,,,,,,,,,,,,,,651-700,,401-450,,401-450,351-400,,,,,,,,,,,,,,601-700,,,,,,,351-400,,,,,601-650,,,551-700,,,,,,,,,,
的里雅斯特大学,University of Trieste,意大利,751,457,501,601,,,,,,,,,,,,,,,,,,,,,,,,501-550,,,551-600,,451-500,,,,,401-450,451-500,,,,,,,401-550,301-350,,,,,,,,,,,,,,,,,
马丁·路德·哈勒-威登堡大学,Martin Luther University of Halle-Wittenberg,德国,751,618,-,-,501-550,,,,,,,,,,,,,,,,,,,,,,,=323,101-150,,301-350,,501-550,,351-400,,,451-500,401-450,,,,,,,,501-550,,,,,,,,,,,,,,,,,
新墨西哥大学-阿尔伯克基,The University of New Mexico - Albuquerque,美国,751,445,-,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛林大学,Universite de Lorraine,法国,751,455,601,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄勒冈大学,University of Oregon,美国,751,411,401,401,=387,151-200,,,,,,,=81,,,,,,,651-700,,,,,,,,,,101-170,551-600,,551-600,,,151-200,,451-500,551-600,201-275,451-500,,201-250,201-250,,,501-550,,,101-170,601-650,101-150,,551-700,201-250,,,,,301-400,,301-375,101-150,
贝尔格莱德大学,University of Belgrade,塞尔维亚,761-770,460,1001,401,451-500,,,,,,,,,,,,,,,601-650,,401-450,,,501-575,,101-150,401-450,251-300,,451-500,,351-400,,351-400,,,451-500,401-450,,501-550,,,,501-600,,501-550,,,,,,,551-700,401-450,,,,,,,,,
布加勒斯特大学,University of Bucharest,罗马尼亚,761-770,930,1001,-,501-550,,,,,,,,201-250,201-250,,,201-225,,,501-550,,,,,,,,,351-400,,,,,,,,,501-550,601-700,,,,,,301-350,,501-550,501-550,,,,,,,,,,,,,,,,
越南河内国立大学,Vietnam National University Hanoi,越南,761-770,-,1201,-,,,,,,,,,,,,,,,451-500,551-600,,401-450,,401-450,401-450,,,,,,,,,,,,,,,,451-500,,,,301-350,,601-675,501-550,301-375,,451-500,,,401-450,,,351-400,,,,,301-375,,
艾哈迈德亚萨威大学,Khoja Akhmet Yassawi International Kazakh-Turkish University,哈萨克斯坦,761-770,-,-,-,501-550,,,,,,,,,151-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351-400,,,,,,,,,
阿赫利亚安曼大学,Al-Ahliyya Amman University,约旦,761-770,-,601,-,=200,,,201-260,,,,,,,,,,,,651-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,=356,,,601-650,,,,,101-150,,,,,,,,
尼兹瓦大学,University of Nizwa,阿曼,761-770,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴比什-博雅依大学,Babes-Bolyai University,罗马尼亚,761-770,785,1201,-,451-500,,,,,,,,,251-300,,,,,,501-550,,,,,,,,,,,,,,,,251-300,,451-500,,,,,,,151-200,,451-500,451-500,,,451-500,,,401-450,,,,,,301-400,,,,
孟加拉国工程技术大学,Bangladesh University of Engineering and Technology,孟加拉国,761-770,-,1001,-,,,,,,,,,,,,,,,=320,451-500,,,,301-350,351-400,,,,,,,,,,,,,,,,,,,,501-600,,601-675,,,,,,,,,,,,,,,,,
布拉格捷克生命科学大学,Czech University of Life Sciences in Prague,捷克共和国,761-770,747,801,801,,,,,,,,,,,,,,,,,,,,,,,,401-450,66,,601-650,,,,,,,,,,251-300,,,,,,,,,,,,,,,,,,,,,,,
政府学院大学费萨拉巴德,Government College University Faisalabad,巴基斯坦,761-770,594,601,-,,,,,,,,,,,,,,,,,,,,,,,151-175,,251-300,,551-600,,651-700,,351-400,,,,601-700,,,,,,,,,,,,,,,,,,,,,,,,,
印度新德里国立伊斯兰大学,Jamia Millia Islamia,印度,761-770,703,501,-,,,,,,,,,,,,,,,,751-850,,,,,,,,,,,601-650,,,,,,,,601-700,,,,,,,,601-675,,,,,,,,,,,,,,,,,
新泽西理工大学,New Jersey Institute of Technology,美国,761-770,873,501,701,,,,,,,,,,,,,,,,701-750,,,,,,,,,,,,,,,,,,,,,,,,,451-500,,601-675,,,,,,,,,,,,,,,,,
里加技术大学,Riga Technical University,拉脱维亚,761-770,1441,1001,-,,,,,,,,,,,,,,,451-500,651-700,,,,351-400,351-400,,,,,,,,,,,,,,,,,,,,,401-550,,,,,551-600,,,,,,,,,,,,,
梅努斯大学,Maynooth University,爱尔兰,771-780,1093,501,801,501-550,,,,,251-300,,,,,,,,,,,,,,,,,,,,,,,701-850,,,,,,,,,201-250,,,,,,,,,,,,,,,351-400,,,,,301-375,,
马尔堡菲尔兹大学,Philipps University of Marburg,德国,771-780,568,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗维拉-威尔吉利大学,Rovira i Virgili University,西班牙,771-780,797,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗格斯大学纽瓦克分校,Rutgers University - Newark,美国,771-780,645,-,701,,,,,,,,,,,,,101-150,,,,,,,,,,,,,,651-700,,551-600,,,,,,,,,,,,,,,,,,,,,551-700,,,,,,301-400,101-150,301-375,,
塔帕尔工程技术学院,Thapar Institute of Engineering & Technology,印度,771-780,1111,601,-,,,,,,,,,,,,,,,501-550,401-450,,,,451-500,451-500,,,,,,,,,,,,,,,,,,,,451-500,,,,,,,,,,,,,,,,,,,
加尔各答大学,University of Calcutta,印度,771-780,1372,-,901,451-500,,,,,,,,,,,,,,,701-750,,401-450,,,,,,,351-400,,601-650,,701-850,,,,,501-550,401-450,,,,,,501-600,,401-450,,,,,,,351-400,,,,,,,,,,
瓜达拉哈拉大学,Universidad de Guadalajara,墨西哥,1201-1400,1534,1501,-,501-550,,,,,,,,301-350,201-250,,,,,,451-500,,401-450,,,,,,,351-400,,551-600,,401-450,,,,,,,,,,,,,,,,,,501-550,,,,301-350,151-175,,,,301-400,,301-375,,
卡斯里克圣灵大学,Holy Spirit University of Kaslik,黎巴嫩,771-780,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亚历山大大学,Alexandria University,埃及,781-790,360,1001,601,,,,,,,,,,,,,,,=320,451-500,,251-300,,301-350,301-350,,51-100,=293,151-200,,351-400,,301-350,,101-150,,51-100,451-500,401-450,,351-400,,,,501-600,351-400,551-600,501-550,,,,,,,,,351-400,,,,,,,
卡尔顿大学,Carleton University,加拿大,781-790,616,501,501,451-500,,,,,251-300,,,251-300,,,,,,451-500,251-300,,,,301-350,401-450,,,,,,,,,,,301-350,,,,,,,,,401-450,,551-600,501-550,,,501-550,201-250,,551-700,,,301-350,,,151-200,,251-300,,
佐治亚州立大学,Georgia State University,美国,781-790,588,501,501,451-500,,,,,201-250,,,151-200,,,,,,,351-400,,,,,,,,501-550,,,551-600,,451-500,,,301-350,,,,,,,,,501-600,,601-675,501-550,301-375,,201-250,,,301-350,251-300,151-175,,,,301-400,,,,
安蒂奥基亚大学,Universidad de Antioquia,哥伦比亚,781-790,781,1201,-,=378,,,,,,,,,201-250,,,,,,651-700,,401-450,,501-550,351-400,,,=398,351-400,,401-450,,251-300,,,,,,,,451-500,,,,501-600,,451-500,401-450,,,501-550,,,,251-300,,351-400,,,301-400,,,,
罗萨里奥大学,Universidad del Rosario,哥伦比亚,781-790,1451,1501,-,451-500,,,,,,,,,,,,,,,,,,,,,,,,301-350,,651-700,,451-500,,,,,,551-600,,,,,,,,,=297,,,351-400,,,401-450,,,=85,,,101-150,,,,
肯塔基大学,University of Kentucky,美国,781-790,407,401,301,,,,,,,,,,,,,,,,551-600,,,,,351-400,51-100,,=372,101-150,,501-550,,401-450,151-225,201-250,,51-100,,601-700,,501-550,201-250,,,,401-550,501-550,,,,,,,401-450,,,,,,,,,,
蒙斯大学,University of Mons,比利时,781-790,937,601,-,,,,,,,,,,,,,,,,601-650,,,,,501-575,,,,,,,,701-850,,,,,,501-550,,,,,,,401-550,601-675,,,,,,,,,,,,,,,,,
香港都会大学,Hong Kong Metropolitan University,中国香港,781-790,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿利坎特大学,Universidad de Alicante,西班牙,781-790,1022,1001,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
科威特大学,Kuwait University,科威特,781-790,1072,1201,-,,,,,,,,,,,,,,,,751-850,,,,,501-575,,101-150,,,,,,551-600,,,,,,,,,,,,,,,,,,,,,,,,,51-100,,,,,,
都柏林科技大学,Technological University Dublin,爱尔兰,781-790,-,1001,-,,,,,,,,,,,,,,,451-500,551-600,,,,351-400,351-400,,,,351-400,,,,701-850,,,,,,,,,,,,,,,,,,601-650,,,,,51-100,,,,,,,,
哈尔科夫大学,V. N. Karazin Kharkiv National University,乌克兰,781-790,2087,1501,-,,,,,,,,,,,,,,,,701-750,,,,,,,,,,,,,,,,,,,,,,,,,,,501-550,,,,,,,551-700,,,,,,,,,,
韦恩州立大学,Wayne State University,美国,781-790,464,501,601,,,,,,,,,,,,,,,,751-850,,,,,,,,451-500,,,451-500,,451-500,,,,,,601-700,,,,,,501-600,,501-550,,,,,,,,,,,,,,,,,
葡萄牙天主教大学,Universidade Catolica Portuguesa,葡萄牙,781-790,1284,801,-,,,,,,,,,,301-350,,,,101-150,,,,,,,,,,,,,,,701-850,,,,,,,,,,,,,,,451-500,301-375,,251-300,,,351-400,,,351-400,,,,,,,
维克森林大学,Wake Forest University,美国,791-800,497,401,501,,,,,,,,,,,,,,,,,,,,,,,,401-450,,,451-500,,301-350,,,,,,,,,,,,,,,,,,,,,551-700,,,,,,,,,,
约旦应用科学私立大学,Applied Science Private University - Jordan,约旦,791-800,-,501,-,=192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=384,,,,,,,,,,,,,,,,
北京工业大学,Beijing University of Technology,中国,791-800,528,-,301,,,,,,,,,,,,,,,,401-450,,,151-200,301-350,301-350,,,,,,601-650,,,,,,,501-550,401-450,,,,,,401-450,301-350,451-500,,,,,,,,,,,,,,,,,
千叶大学,Chiba University,日本,791-800,857,1001,601,,,,51-100,,,,,,,,,,,,,,,,,,,,401-450,301-350,,451-500,,351-400,,351-400,,,,501-550,,,,,,,,501-550,,,,,,,,,,,,,,,,,
拉曼大学,Universiti Tunku Abdul Rahman (UTAR),马来西亚,791-800,1304,1001,-,,,,,,,,,,,,,,,,751-850,,,,451-500,,,,,401-475,,,,701-850,,,,,,,,,,,,,,,,,,601-650,,,451-500,,,,,,,,,,
兰州大学,Lanzhou University,中国,791-800,460,-,201,,,,,,,,,,,,,,,,751-850,,,,,,,,501-550,301-350,,401-450,,501-550,,,,,401-450,301-350,201-275,351-400,201-250,,,451-500,,401-450,,,,,,,,,,,,,,,,,
挪威生命科学大学,Norwegian University of Life Sciences,挪威,791-800,937,801,701,,,,,,,,,,,,,,,,,,,,,,,,501-550,10,,501-550,,,,,,51-100,,,,351-400,,,,,,,,,,,,,,,,,,,,,,,
瓦尔帕莱索天主教大学,Pontificia Universidad Catolica de Valparaiso,智利,791-800,1230,1501,-,=385,,,201-260,,,,,201-250,201-250,,,,,,551-600,,351-400,,,,,,,301-350,,,,701-850,,,,,,,,,,,,401-450,,401-450,=389,,,451-500,201-250,,,201-250,,151-200,,,,,301-375,,
米德尔塞克斯大学,Middlesex University,英国,801-850,1238,501,-,,,,,,,,,,,,,,,,601-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551-600,,,551-700,351-400,51-100,,,,,,,,
乌克兰国立技术大学 – 伊戈尔·西科斯基基辅理工学院,National Technical University of Ukraine – Igor Sikorsky Kyiv Poly,乌克兰,801-850,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西北农林科技大学,NorthWest A&F University,中国,801-850,288,-,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海洋大学,Ocean University of China,中国,801-850,464,-,301,,,,,,,,,,,,,,,,,,,,,,,,,301-350,,551-600,,,,,,,,551-600,101-150,501-550,,151-200,101-150,,401-550,,,,,,,,551-700,,,,,,,,,,
巴里理工大学,Politecnico di Bari,意大利,801-850,731,501,801,,,151-200,,,,,,,,,,,,501-550,751-850,,,201-275,501-550,401-450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡西姆大学,Qassim University,沙特阿拉伯,801-850,913,601,701,401-450,,,,,,,,,,,,,,=333,651-700,,,,,,,,401-450,,,,,551-600,,351-400,,,501-550,,,,,,,451-500,,,=297,,,,,,,,,,,,,,,,
苏州大学,Soochow University,中国,801-850,292,-,151,,,,,,,,,,,,,,,,,,,,,,,,,,,501-550,,551-600,,351-400,,,451-500,251-300,,,,,,451-500,201-250,451-500,,,,,,,,,,,,,,,,,
新学院大学,The New School,美国,801-850,-,1001,-,=116,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101-170,,151-200,,351-400,,,,,,251-300,,101-150,,
阿尔法萨尔大学,Alfaisal University,沙特阿拉伯,801-850,731,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿塞拜疆国立经济大学,Azerbaijan State University of Economics,阿塞拜疆,801-850,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401-450,,,,,,351-400,,,,,,,,,,
伯恩茅斯大学,Bournemouth University,英国,801-850,797,401,-,,201-260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451-500,151-200,,,,=23,,,,,,,,
德蒙福特大学,De Montfort University,英国,801-850,1060,601,-,,,,,,,,,,,,,,,,501-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551-700,,,,,,,,,,
东华大学,Donghua University,中国,801-850,464,501,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501-550,,,,,,,201-250,,,,,,,,,,,,,,,,,,
圣卡塔琳娜联邦大学,Federal University of Santa Catarina,巴西,801-850,797,1001,701,401-450,,,,,,,,251-300,,,,,,401-450,601-650,,301-350,,251-300,201-250,,,501-550,201-250,,601-650,51-120,501-550,151-225,,,,,551-600,,401-450,,,,,401-550,601-675,,,,551-600,,,551-700,,,,,,,,,,
圣保罗联邦大学,Federal University of Sao Paulo,巴西,801-850,633,801,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
格但斯克工业大学,Gdansk University of Technology,波兰,801-850,989,1001,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德国约旦大学,German Jordanian University,约旦,801-850,-,1201,-,,,,,,,,,,,,,,,,751-850,,,,501-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨西哥自治技术学院,Instituto Tecnológico Autónomo de México (ITAM),墨西哥,801-850,-,-,-,,,,,,,,,,,,,,,,701-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,=243,201-250,,151-200,,,=185,,,99,,,101-150,,,,
国立屏东科技大学,National Pingtung University Science & Technology,中国台湾,-,2172,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,401-475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔚山大学,University of Ulsan,韩国,801-850,769,501,401,,,,,,,,,,,,,,,,,,,,,,,,401-450,,,601-650,,251-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威斯敏斯特大学,University of Westminster,英国,801-850,1687,801,-,451-500,,201-260,101-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51-100,,,,,,,,,,,,
弗罗茨瓦夫大学,University of Wroclaw,波兰,801-850,1079,1201,-,401-450,,,,,,,,301-350,,,,,,=304,451-500,,351-400,,251-300,251-300,,,,,,,,,,,,,=393,501-550,,,,,,351-400,251-300,401-450,,,,,,,,,,,,,,,,,
越南国立大学胡志明市,Viet Nam National University Ho Chi Minh City (VNU-HCM),越南,801-850,-,1501,-,,,,,,,,,251-300,,,,,,401-450,451-500,,351-400,201-275,351-400,451-500,,51-100,,351-400,,,,701-850,,,,,451-500,551-600,,401-450,,,,301-350,401-550,501-550,501-550,301-375,,401-450,,,351-400,,,,,,301-400,,,,
阿利亚大学,Ahlia University,巴林,801-850,-,-,-,,,,,,,,,,,,,,,,501-550,,,,,,,,,,,,,,,,,,,,,,,,,,,,401-450,151-200,,551-600,,,451-500,,,,,,,,,,
苏黎世应用科技大学,Zurich University of Applied Sciences,瑞士,801-850,1309,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGH克拉科夫大学,AGH University of Krakow,波兰,801-850,847,1001,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴勒莫研究大学,Università  degli Studi di Palermo,意大利,801-850,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度理工学院甘地讷格尔分校,IIT Gandhinagar,印度,801-850,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨莱诺大学,Universita' degli studi di Salerno,意大利,801-850,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东京理科大学,Tokyo University of Science,日本,801-850,1372,1201,601,,,,,,,,,,,,,,,,,,,,501-550,301-350,,,,,,601-650,,,,,,,451-500,301-350,,,,,,501-600,251-300,301-350,,,,,,,,,,,,,,,,,
哈瓦那大学,Universidad de La Habana,古巴,801-850,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乌拉圭蒙得维的亚大学,Universidad de Montevideo (UM),乌拉圭,801-850,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351-400,,,,,,,
基多圣弗朗西斯科大学,Universidad San Francisco de Quito,厄瓜多尔,801-850,1060,1201,-,501-550,,,,,,,,,,,,,,,,,,,,,,,,401-475,,,,701-850,,,,,,,,,,,,,,,451-500,,,351-400,,,,,101-150,,,,301-400,,,,
巴西利亚大学,Universidade de Brasília,巴西,801-850,864,1201,701,451-500,,201-260,,,,201-250,,251-300,,,,,,,601-650,,,,,501-575,,,451-500,301-350,,551-600,,451-500,,,,,501-550,601-700,,351-400,,,,301-350,,,451-500,,,551-600,,,551-700,,,301-350,,,151-200,,201-250,,
意大利马尔凯理工大学,Universita' Politecnica delle Marche,意大利,801-850,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,251-300,,501-550,,651-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杜伊斯堡 - 埃森大学,University of Duisburg-Essen,德国,801-850,302,251,301,,,,,,,,,,,,,,,,751-850,,,,,451-500,,,401-450,,,401-450,,251-300,,,,,,451-500,,,,,,501-600,351-400,451-500,,,,,,,501-550,,,,,,,,,,
马来西亚登嘉楼大学 (UMT),Universiti Malaysia Terengganu (UMT),马来西亚,801-850,847,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,301-350,,,,,,,,,,,,,,,,,,,,,,,,,551-700,,,,,,,,,,
巴里大学,University of Bari,意大利,801-850,434,601,401,,201-260,,,51-150,,,,,,,,,,,701-750,,,,,,,,=391,101-150,,351-400,,451-500,,351-400,,51-100,501-550,401-450,,451-500,,,,,,501-550,,,,,,,,,,,,,,,,,
布莱顿大学,University of Brighton,英国,801-850,1084,601,-,501-550,,,101-150,,,,,,,,,,,,,,,,,,,,,,,,,651-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉合尔工程技术大学（UET）,University of Engineering & Technology (UET) Lahore,巴基斯坦,801-850,1259,1201,-,,,,,,,,,,,,,,,=205,401-450,,351-400,,201-250,251-300,,51-100,,,,,,,,,,,,551-600,,,,,,451-500,351-400,601-675,,,,551-600,,,,,,,,,,,,,
格林威治大学,University of Greenwich,英国,801-850,937,501,701,,,,,,,,,,,,,,,,,,,,,,,,,401-475,,,,,,,,,,,,,,,,,,,,,,,,,551-700,,151-175,,,,,,,,
海德拉巴大学,University of Hyderabad,印度,801-850,1304,-,-,,,,,,251-300,,,301-350,,,,,,,,,,,,,,,,,,651-700,,,,,,,,451-500,,,,,,,,601-675,,,,,,,501-550,,,,,,,,301-375,,
拉脱维亚大学,University of Latvia,拉脱维亚,801-850,1212,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马里兰大学-巴尔的摩,"University of Maryland, Baltimore",美国,801-850,310,-,301,,,,,,,,,,,,,,,,,,,,,,,,=268,,,251-300,51-120,201-250,101-150,151-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马里兰大学巴尔的摩,"University of Maryland, Baltimore County",美国,801-850,847,601,601,,,,,,,,,,,,,,,,601-650,,,,,,,,,,,651-700,,,,,,,,,201-275,,,,,,,601-675,,,,,,,,,,,,,,,,,
摩德纳大学和雷焦艾米利亚,University of Modena and Reggio Emilia,意大利,801-850,630,501,801,,,,,,,,,,,,,,,,701-750,,,,,401-450,,,451-500,,,551-600,,401-450,,,,,,601-700,,,,,,,401-550,551-600,,,,,,,,,,,,,,,,,
那慕尔大学,University of Namur,比利时,801-850,1425,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601-700,,,,,,,,,,,,,,,,,,,,,,,,,
佩鲁贾大学,University of Perugia,意大利,801-850,542,-,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东京农工大学,Tokyo University of Agriculture and Technology,日本,851-900,1468,1001,901,,,,,,,,,,,,,,,,,,,,,501-575,,,,=49,,501-550,,,,,,,,401-450,,451-500,,,,,401-550,,,,,,,,,,,,,,,,,,
Università degli Stu,Università degli Studi della Tuscia (University of Tuscia),意大利,851-900,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,201-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗斯托克大学,Universität Rostock,德国,851-900,835,-,501,,,,,,,,,,,,,,,,,,,,,,,,,351-400,,601-650,,651-700,,,,,,451-500,,,,,,,,,,,,,,,,,,,,,,,,,
弗朗什-孔德大学,Universite de Franche-Comte,法国,851-900,1001,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701-850,,,,,,,,,,,,,,601-675,,,,,,,,,,,,,,,,,
南特大学,Université de Nantes,法国,851-900,445,601,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魁北克大学,Université du Québec,加拿大,851-900,-,501,-,451-500,,,,,,,,301-350,,,,,,,401-450,,,,501-550,,,,,201-250,,,,701-850,,,,,,601-700,,451-500,,,,301-350,,,,,,551-600,,,401-450,251-300,,,,,,,251-300,,
苏丹依德理斯教育大学,Universiti Pendidikan Sultan Idris,马来西亚,851-900,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201-250,,,,,,,,,
科罗拉多大学-丹佛,University of Colorado at Denver,美国,851-900,440,301,201,,,,,,,,,,,,,,,,,,,,,,,,401-450,,,601-650,,251-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
格但斯克大学,University of Gdansk,波兰,851-900,1337,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,651-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加纳大学,University of Ghana,加纳,851-900,810,1001,901,,,,,,,,,,,,,,,,,,,,,,,,,301-350,,651-700,,451-500,,,,,,,,,,,,,,,,,,,,51-100,551-700,,,,,,,,,,
国立台湾大学,National Taiwan University,中国台湾,63,248,172,201,70,51-100,51-100,51-100,19,=93,35,,=71,29,,51-100,101-150,,82,=91,39,58,51-100,=69,75,51-100,,80,81,51-100,110,,76,51-100,=61,151-200,,63,69,151-200,93,51-100,151-200,151-200,103,79,74,73,69,51-100,=106,51-100,,=91,=97,,72,34,51-100,=85,27,32,51-100,101-150
首尔大学,University of Seoul,韩国,851-900,979,801,-,,,151-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601-700,,451-500,,,,,,551-600,,,,,,,,,,,,,,,,,
斯塔万格大学,University of Stavanger,挪威,851-900,712,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维罗纳大学,University of Verona,意大利,851-900,460,401,501,,,,,,301-350,,,,,,,,,,751-850,,,,,,,,=380,,,501-550,,351-400,151-225,,,,,,,,,,,,,,,,,,,,551-700,,,,,,,,,,
维哥大学,University of Vigo,西班牙,851-900,781,801,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维尔纽斯Gediminas技术大学,Vilnius Gediminas Technical University,立陶宛,851-900,1939,1201,-,,,,,,,,,,,,,,,,701-750,,,,,451-500,,,,,,,,,,,,,,,,,,,,,,,,,,501-550,,,451-500,,,,,,,,,,
伍斯特理工学院,Worcester Polytechnic Institute,美国,851-900,1253,601,-,,,,,,,,,,,,,,,,751-850,,,,,501-575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弗罗茨瓦夫科技大学,Wroclaw University of Science and Technology,波兰,851-900,1346,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亚尔穆克大学,Yarmouk University,约旦,851-900,1188,1001,-,401-450,201-260,,,,,,,301-350,,,,,,451-500,401-450,,,,,,,,,,,,,701-850,,,,,,,,,,,,501-600,,,501-550,,,501-550,,,,,,,,,,,,,
